"Devanagari","Bangla","Gujarati","Gurumukhi","Oriya","Kannada","Telugu","Malayalam","Tamil","Sinhala"
"ऀ","ঀ","઀","਀","଀","ಀ","ఀ","ഀ","஀","඀"
"ँ","ঁ","ઁ","ਁ","ଁ","ಁ","ఁ","ഁ","஁","ඁ"
"ं","ং","ં","ਂ","ଂ","ಂ","ం","ം","ஂ","ං"
"ः","ঃ","ઃ","ਃ","ଃ","ಃ","ః","ഃ","ஃ","ඃ"
"ऄ","঄","઄","਄","଄","಄","ఄ","ഄ","஄","඄"
"अ","অ","અ","ਅ","ଅ","ಅ","అ","അ","அ","අ"
"आ","আ","આ","ਆ","ଆ","ಆ","ఆ","ആ","ஆ","ආ"
"ऍ","঍","ઍ","਍","଍","಍","఍","഍","஍","ඇ"
,,,,,,,,,"ඈ"
"इ","ই","ઇ","ਇ","ଇ","ಇ","ఇ","ഇ","இ","ඉ"
"ई","ঈ","ઈ","ਈ","ଈ","ಈ","ఈ","ഈ","ஈ","ඊ"
"उ","উ","ઉ","ਉ","ଉ","ಉ","ఉ","ഉ","உ","උ"
"ऊ","ঊ","ઊ","ਊ","ଊ","ಊ","ఊ","ഊ","ஊ","ඌ"
"ऋ","ঋ","ઋ","਋","ଋ","ಋ","ఋ","ഋ","஋","ඍ"
"ऌ","ঌ","ઌ","਌","ଌ","ಌ","ఌ","ഌ","஌","ඏ"
"ऎ","঎","઎","਎","଎","ಎ","ఎ","എ","எ","එ"
,,,,,,,,,
"ए","এ","એ","ਏ","ଏ","ಏ","ఏ","ഏ","ஏ","ඒ"
"ऐ","ঐ","ઐ","ਐ","ଐ","ಐ","ఐ","ഐ","ஐ","ඓ"
"ऑ","঑","ઑ","਑","଑","಑","఑","഑","஑",
"ऒ","঒","઒","਒","଒","ಒ","ఒ","ഒ","ஒ","ඔ"
"ओ","ও","ઓ","ਓ","ଓ","ಓ","ఓ","ഓ","ஓ","ඕ"
"औ","ঔ","ઔ","ਔ","ଔ","ಔ","ఔ","ഔ","ஔ","ඖ"
"क्","ক্","ક્","ਕ੍","କ୍","ಕ್","క్","ക്","க்","ක්"
"ख्","খ্","ખ્","ਖ੍","ଖ୍","ಖ್","ఖ్","ഖ്","஖்","ඛ්"
"ग्","গ্","ગ્","ਗ੍","ଗ୍","ಗ್","గ్","ഗ്","஗்","ග්"
"घ्","ঘ্","ઘ્","ਘ੍","ଘ୍","ಘ್","ఘ్","ഘ്","஘்","ඝ්"
"ङ्","ঙ্","ઙ્","ਙ੍","ଙ୍","ಙ್","ఙ్","ങ്","ங்","ඞ්"
"ङऀ्",,,,,,,,,"ඟ්"
"च्","চ্","ચ્","ਚ੍","ଚ୍","ಚ್","చ్","ച്","ச்","ච්"
"छ्","ছ্","છ્","ਛ੍","ଛ୍","ಛ್","ఛ్","ഛ്","஛்","ඡ්"
"ज्","জ্","જ્","ਜ੍","ଜ୍","ಜ್","జ్","ജ്","ஜ்","ජ්"
"झ्","ঝ্","ઝ્","ਝ੍","ଝ୍","ಝ್","ఝ్","ഝ്","஝்","ඣ්"
"ञ्","ঞ্","ઞ્","ਞ੍","ଞ୍","ಞ್","ఞ్","ഞ്","ஞ்","ඤ්"
,,,,,,,,,"ඥ්"
"ट्","ট্","ટ્","ਟ੍","ଟ୍","ಟ್","ట్","ട്","ட்","ඦ෍"
"ठ्","ঠ্","ઠ્","ਠ੍","ଠ୍","ಠ್","ఠ్","ഠ്","஠்","ට෍"
"ड्","ড্","ડ્","ਡ੍","ଡ୍","ಡ್","డ్","ഡ്","஡்","ඨ෍"
"ढ्","ঢ্","ઢ્","ਢ੍","ଢ୍","ಢ್","ఢ్","ഢ്","஢்","ඩ෍"
"ण्","ণ্","ણ્","ਣ੍","ଣ୍","ಣ್","ణ్","ണ്","ண்","ඪ෍"
"त्","ত্","ત્","ਤ੍","ତ୍","ತ್","త్","ത്","த்","ණ෍"
"थ्","থ্","થ્","ਥ੍","ଥ୍","ಥ್","థ్","ഥ്","஥்","ඬ෍"
"द्","দ্","દ્","ਦ੍","ଦ୍","ದ್","ద్","ദ്","஦்","ත෍"
"ध्","ধ্","ધ્","ਧ੍","ଧ୍","ಧ್","ధ్","ധ്","஧்","ථ෍"
"न्","ন্","ન્","ਨ੍","ନ୍","ನ್","న్","ന്","ந்","ද෍"
"ऩ्","঩্","઩્","਩੍","଩୍","಩್","఩్","ഩ്","ன்","ධ෍"
"प्","প্","પ્","ਪ੍","ପ୍","ಪ್","ప్","പ്","ப்","න෍"
"फ्","ফ্","ફ્","ਫ੍","ଫ୍","ಫ್","ఫ్","ഫ്","஫்","඲෍"
"ब्","ব্","બ્","ਬ੍","ବ୍","ಬ್","బ్","ബ്","஬்","ඳ෍"
"भ्","ভ্","ભ્","ਭ੍","ଭ୍","ಭ್","భ్","ഭ്","஭்","ප෍"
"म्","ম্","મ્","ਮ੍","ମ୍","ಮ್","మ్","മ്","ம்","ඵ෍"
"य्","য্","ય્","ਯ੍","ଯ୍","ಯ್","య్","യ്","ய்","බ෍"
"र्","র্","ર્","ਰ੍","ର୍","ರ್","ర్","ര്","ர்","භ෍"
"ऱ्","঱্","઱્","਱੍","଱୍","ಱ್","ఱ్","റ്","ற்","ම෍"
"ल्","ল্","લ્","ਲ੍","ଲ୍","ಲ್","ల్","ല്","ல்","ඹ෍"
"ळ्","঳্","ળ્","ਲ਼੍","ଳ୍","ಳ್","ళ్","ള്","ள்","ය"
"ऴ्","঴্","઴્","਴੍","଴୍","಴್","ఴ్","ഴ്","ழ்","ර"
"व्","঵্","વ્","ਵ੍","ଵ୍","ವ್","వ్","വ്","வ்","඼"
"श्","শ্","શ્","ਸ਼੍","ଶ୍","ಶ್","శ్","ശ്","ஶ்","ල"
"ष्","ষ্","ષ્","਷੍","ଷ୍","ಷ್","ష్","ഷ്","ஷ்","඾"
"स्","স্","સ્","ਸ੍","ସ୍","ಸ್","స్","സ്","ஸ்","඿"
"ह्","হ্","હ્","ਹ੍","ହ୍","ಹ್","హ్","ഹ്","ஹ்","ව"
"ऺ","঺","઺","਺","଺","಺","఺","ഺ","஺","ශ"
"ऻ","঻","઻","਻","଻","಻","఻","഻","஻","ෂ"
"़","়","઼","਼","଼","಼","఼","഼","஼","ස"
"ऽ","ঽ","ઽ","਽","ଽ","ಽ","ఽ","ഽ","஽","හ"
"ा","া","ા","ਾ","ା","ಾ","ా","ാ","ா","ළ"
"ि","ি","િ","ਿ","ି","ಿ","ి","ി","ி","ෆ"
"ी","ী","ી","ੀ","ୀ","ೀ","ీ","ീ","ீ","෇"
"ु","ু","ુ","ੁ","ୁ","ು","ు","ു","ு","෈"
"ू","ূ","ૂ","ੂ","ୂ","ೂ","ూ","ൂ","ூ","෉"
"ृ","ৃ","ૃ","੃","ୃ","ೃ","ృ","ൃ","௃","්"
"ॄ","ৄ","ૄ","੄","ୄ","ೄ","ౄ","ൄ","௄","෋"
"ॅ","৅","ૅ","੅","୅","೅","౅","൅","௅","෌"
"ॆ","৆","૆","੆","୆","ೆ","ె","െ","ெ","෍"
"े","ে","ે","ੇ","େ","ೇ","ే","േ","ே","෎"
"ै","ৈ","ૈ","ੈ","ୈ","ೈ","ై","ൈ","ை","ා"
"ॉ","৉","ૉ","੉","୉","೉","౉","൉","௉","ැ"
"ॊ","৊","૊","੊","୊","ೊ","ొ","ൊ","ொ","ෑ"
"ो","ো","ો","ੋ","ୋ","ೋ","ో","ോ","ோ","ි"
"ौ","ৌ","ૌ","ੌ","ୌ","ೌ","ౌ","ൌ","ௌ","ී"
"्","্","્","੍","୍","್","్","്","்","ු"
"ॎ","ৎ","૎","੎","୎","೎","౎","ൎ","௎","෕"
"ॏ","৏","૏","੏","୏","೏","౏","൏","௏","ූ"
"ॐ","৐","ૐ","੐","୐","೐","౐","൐","ௐ","෗"
"॑","৑","૑","ੑ","୑","೑","౑","൑","௑","ෘ෍"
"॒","৒","૒","੒","୒","೒","౒","൒","௒","ෙ෍"
"॓","৓","૓","੓","୓","೓","౓","൓","௓","ේ෍"
"॔","৔","૔","੔","୔","೔","౔","ൔ","௔","ෛ෍"
"ॕ","৕","૕","੕","୕","ೕ","ౕ","ൕ","௕","ො෍"
"ॖ","৖","૖","੖","ୖ","ೖ","ౖ","ൖ","௖","ෝ෍"
"ॗ","ৗ","૗","੗","ୗ","೗","౗","ൗ","ௗ","ෞ෍"
"क़्","৘্","૘્","੘੍","୘୍","೘್","ౘ్","൘്","௘்","ෟ෍"
"ख़्","৙্","૙્","ਖ਼੍","୙୍","೙್","ౙ్","൙്","௙்","෠"
"ग़्","৚্","૚્","ਗ਼੍","୚୍","೚್","ౚ్","൚്","௚்","෡"
"ज़्","৛্","૛્","ਜ਼੍","୛୍","೛್","౛్","൛്","௛்","ඎ"
"ड़्","ড়্","૜્","ੜ੍","ଡ଼୍","೜್","౜్","൜്","௜்","ඐ"
"ढ़्","ঢ়্","૝્","੝੍","ଢ଼୍","ೝ್","ౝ్","൝്","௝்","෤"
"फ़्","৞্","૞્","ਫ਼੍","୞୍","ೞ್","౞్","൞്","௞்","෥"
"य़्","য়্","૟્","੟੍","ୟ୍","೟್","౟్","ൟ്","௟்","෦"
"ॠ","ৠ","ૠ","੠","ୠ","ೠ","ౠ","ൠ","௠","෧"
"ॡ","ৡ","ૡ","੡","ୡ","ೡ","ౡ","ൡ","௡","෨"
"ॢ","ৢ","ૢ","੢","ୢ","ೢ","ౢ","ൢ","௢","෩"
"ॣ","ৣ","ૣ","੣","ୣ","ೣ","ౣ","ൣ","௣","෪"
"।","৤","૤","੤","୤","೤","౤","൤","௤","෫"
"॥","৥","૥","੥","୥","೥","౥","൥","௥","෬"
"०","০","૦","੦","୦","೦","౦","൦","௦","෭"
"१","১","૧","੧","୧","೧","౧","൧","௧","෮"
"२","২","૨","੨","୨","೨","౨","൨","௨","෯"
"३","৩","૩","੩","୩","೩","౩","൩","௩","෰"
"४","৪","૪","੪","୪","೪","౪","൪","௪","෱"
"५","৫","૫","੫","୫","೫","౫","൫","௫","ෲ"
"६","৬","૬","੬","୬","೬","౬","൬","௬","ෳ"
"७","৭","૭","੭","୭","೭","౭","൭","௭","෴"
"८","৮","૮","੮","୮","೮","౮","൮","௮","෵"
"९","৯","૯","੯","୯","೯","౯","൯","௯","෶"
"॰","ৰ","૰","ੰ","୰","೰","౰","൰","௰","෷"
"ॱ","ৱ","૱","ੱ","ୱ","ೱ","౱","൱","௱","෸"
"ॲ","৲","૲","ੲ","୲","ೲ","౲","൲","௲","෹"
"ॳ","৳","૳","ੳ","୳","ೳ","౳","൳","௳","෺"
"ॴ","৴","૴","ੴ","୴","೴","౴","൴","௴","෻"
"ॵ","৵","૵","ੵ","୵","೵","౵","൵","௵","෼"
"ॶ","৶","૶","੶","୶","೶","౶","൶","௶","෽"
"ॷ","৷","૷","੷","୷","೷","౷","൷","௷","෾"
"ॸ","৸","૸","੸","୸","೸","౸","൸","௸","෿"
"ॹ","৹","ૹ","੹","୹","೹","౹","൹","௹",
"ॺ","৺","ૺ","੺","୺","೺","౺","ൺ","௺",
"ॻ","৻","ૻ","੻","୻","೻","౻","ൻ","௻",
"ॼ","ৼ","ૼ","੼","୼","೼","౼","ർ","௼",
"ॽ","৽","૽","੽","୽","೽","౽","ൽ","௽",
"ॾ","৾","૾","੾","୾","೾","౾","ൾ","௾",
"ॿ","৿","૿","੿","୿","೿","౿","ൿ","௿",
